BU	SEG_OFICIAL	CARTEIRA	PORTFOLIO	TOP_BS_OP	CANAL	PRODUTO	MEIO_PAGO	TIPO_CREDITO	PARCELA_AGROUP	P&L	202501	202502	202503	202504	202505	202506	202507	202508	202509	202510	202511	202512	202601	202602	202603	202604	202605	202606	202607	202608	202609	202610	202611	202612
POINT	LONGTAIL	-	LEGADO	-	LEGADO	POINT	account_money	-	-	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POINT	LONGTAIL	-	LEGADO	-	LEGADO	POINT	bank_transfer	-	-	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POINT	LONGTAIL	-	LEGADO	-	LEGADO	POINT	ticket	-	-	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POINT	LONGTAIL	-	LEGADO	-	LEGADO	POINT	others	-	-	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5176730	5235454	4853560	4785298	4606438	4293808	4329943	4134742	4298609
POINT	LONGTAIL	-	LEGADO	-	LEGADO	POINT	digital_currency	-	-	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POINT	LONGTAIL	-	LEGADO	-	LEGADO	POINT	debit_card	-	-	TPV	1.921.536.240,00	1.793.883.096,00	1.989.426.632,00	1.827.144.711,00	1.892.394.769,00	1.754.077.080,00	1.701.537.596,00	1.640.970.339,00	1.484.372.526,00	1.455.615.941,00	1.254.790.311,00	1.439.309.010,00	1825405057	1661371280	1717904731	1555392394	1573036687	1458293296	1437783293	1384043403	1290111150	1300968238	1242318351	1291553543
POINT	LONGTAIL	-	LEGADO	-	LEGADO	POINT	credit_card	1x	1x	TPV	1.573.423.916,00	1.521.023.665,00	1.638.200.072,00	1.520.604.950,00	1.531.504.396,00	1.393.955.547,00	1.414.880.385,00	1.365.106.793,00	1.273.049.360,00	1.254.344.194,00	1.027.401.175,03	991.908.513,27	1422187714	1311558603	1365429216	1235557986	1249574094	1158425317	1142132774	1099443385	1024826366	1033450917	986861171	1025972160
POINT	LONGTAIL	-	LEGADO	-	LEGADO	POINT	credit_card	PCJ	2 a 6x	TPV	493.575.237,00	478.851.350,31	481.029.384,49	454.371.283,29	331.908.125,73	392.740.702,61	401.895.789,57	380.980.990,05	364.485.167,49	354.562.951,47	265.403.559,67	253.769.884,55	350102490	318249818	341406152	305712145	309180128	286627332	282596094	272033526	253571156	255705115	244177488	253854658
POINT	LONGTAIL	-	LEGADO	-	LEGADO	POINT	credit_card	PCJ	7 a 12x	TPV	268.732.398,73	261.637.531,10	256.480.510,03	243.017.175,35	171.693.076,98	205.255.595,70	214.116.615,50	193.868.708,93	185.593.581,79	180.202.790,88	131.645.717,25	120.909.956,75	186396660	170205870	178671254	159956202	161770737	149970553	147861309	142334710	132674739	133791279	127759738	132823074
POINT	LONGTAIL	-	LEGADO	-	LEGADO	POINT	credit_card	PCJ	Maior que 12x	TPV	0	0	0	0	0	190.590,70	458.845,74	14.087.386,31	18.324.300,54	18.299.315,60	14.205.272,03	12.708.711,78	19748423	18240802	20006615	17578718	17778130	16481324	16249524	15642167	14580565	14703269	14040421	14596867
