BU	SEG_OFICIAL	CARTEIRA	PORTFOLIO	TOP_BS_OP	CANAL	PRODUTO	MEIO_PAGO	TIPO_CREDITO	PARCELA_AGROUP	P&L	202501	202502	202503	202504	202505	202506	202507	202508	202509	202510	202511	202512	202601	202602	202603	202604	202605	202606	202607	202608	202609	202610	202611	202612
QR SELLERS	LONGTAIL	-	AQUISICAO	-	-	QR SELLERS	account_money	-	-	TPV	6.898.884,82	10.988.772,45	16.078.674,80	19.445.104,45	23.589.944,30	26.121.840,26	29.375.587,49	30.188.381,68	32.549.161,50	38.544.128,89	41.920.197,53	49.399.930,75	9.331.092,29	15.985.091,01	23.141.341,34	24.214.133,87	24.221.058,77	26.448.567,82	29.771.032,57	31.766.482,05	35.458.246,23	39.118.612,32	42.838.772,78	49.393.426,55
QR SELLERS	LONGTAIL	-	AQUISICAO	-	-	QR SELLERS	bank_transfer	-	-	TPV	69.837.608,04	121.503.879,50	170.285.391,30	197.518.926,90	240.820.129,20	275.554.379,30	313.993.022,80	350.322.644,00	368.389.453,30	449.592.816,70	522.683.839,10	666.281.440,60	85.668.360,44	146.178.469,50	206.932.097,20	286.352.810,87	287.815.792,82	317.297.603,82	359.380.482,88	386.604.484,32	430.126.326,72	471.972.600,06	512.164.423,30	588.925.417,60
QR SELLERS	LONGTAIL	-	AQUISICAO	-	-	QR SELLERS	ticket	-	-	TPV	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
QR SELLERS	LONGTAIL	-	AQUISICAO	-	-	QR SELLERS	consumer_credits	-	-	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QR SELLERS	LONGTAIL	-	AQUISICAO	-	-	QR SELLERS	digital_currency	-	-	TPV	10.879.588,16	13.304.052,64	21.857.797,94	24.156.203,91	29.167.545,83	22.713.306,14	19.065.787,11	15.313.787,84	12.582.194,05	10.588.809,46	8.060.160,21	6.760.847,94	2.168.105,34	1.478.155,71	1.878.427,13	3.894.369,17	3.782.174,10	3.891.042,44	4.192.132,67	4.211.979,40	4.803.735,74	5.523.139,04	6.439.084,07	7.576.418,34
QR SELLERS	LONGTAIL	-	AQUISICAO	-	-	QR SELLERS	debit_card	-	-	TPV	1.001,98	5.049,15	7.110,50	8.131,31	6.373,40	2.574,11	4.909,76	2.714,04	3.968,75	0	0,00	0,00	0	0,00	0,00	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
QR SELLERS	LONGTAIL	-	AQUISICAO	-	-	QR SELLERS	credit_card	1x	1x	TPV	1.055.176,78	1.119.430,35	1.441.388,90	1.732.835,23	2.066.222,40	2.483.186,23	2.899.355,45	2.837.991,10	2.899.337,57	2.954.760,94	2.991.766,79	2.626.831,99	567.236,18	655.863,22	851.077,70	1.367.162,84	1.341.753,05	1.413.145,23	1.548.224,72	1.594.839,66	1.802.589,58	2.039.328,50	2.318.759,74	2.708.601,30
QR SELLERS	LONGTAIL	-	AQUISICAO	-	-	QR SELLERS	credit_card	PCJ	2 a 6x	TPV	382.200,64	406.664,20	538.324,90	719.860,80	659.580,97	880.653,00	1.040.785,05	1.091.916,58	952.282,50	887.750,91	852.230,59	828.540,39	217.736,24	279.187,29	303.672,45	431.097,93	422.557,79	443.956,43	485.420,28	498.767,57	564.275,63	639.548,84	729.153,67	852.408,06
QR SELLERS	LONGTAIL	-	AQUISICAO	-	-	QR SELLERS	credit_card	PCJ	7 a 12x	TPV	177.897,04	199.386,11	259.176,99	324.487,27	291.449,99	431.480,54	405.577,06	460.495,30	464.407,52	498.173,96	454.581,98	344.094,92	127.161,40	121.956,32	158.845,28	210.061,09	203.370,70	208.464,60	223.255,30	223.283,69	255.202,55	294.870,73	345.688,97	407.320,48
QR SELLERS	LONGTAIL	-	AQUISICAO	-	-	QR SELLERS	credit_card	PCJ	Maior que 12x	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QR SELLERS	LONGTAIL	-	AQUISICAO	-	-	QR SELLERS	credit_card	PSJ	2 a 6x	TPV	52.369,31	87.136,76	151.199,26	99.364,28	268.335,48	150.549,44	195.356,70	164.384,17	175.001,33	213.350,90	203.705,22	222.052,83	26.106,76	55.740,79	64.998,05	96.347,81	93.096,92	95.048,70	101.442,31	100.988,18	115.628,14	134.038,28	157.863,00	186.244,77
QR SELLERS	LONGTAIL	-	AQUISICAO	-	-	QR SELLERS	credit_card	PSJ	7 a 12x	TPV	58.832,95	18.465,90	24.818,84	21.087,55	130.968,98	48.422,51	40.905,33	55.841,24	72.559,71	76.043,77	38.987,05	63.949,14	19.854,60	14.634,80	18.716,01	28.313,29	27.309,39	27.780,92	29.556,14	29.298,81	33.600,93	39.068,21	46.206,45	54.576,91
QR SELLERS	LONGTAIL	-	AQUISICAO	-	-	QR SELLERS	credit_card	PSJ	Maior que 12x	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0,00	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
QR SELLERS	LONGTAIL	-	AQUISICAO	-	-	QR SELLERS	credit_card	PNF	1x	TPV	0	29,8	0,00	0,00	14,65	0,00	0,00	105,00	0,00	60,00	71,50	0,00	0,00	0	0,00	19,39	19,79	22,43	25,99	28,61	31,54	34,01	35,81	40,88
QR SELLERS	LONGTAIL	-	AQUISICAO	-	-	QR SELLERS	credit_card	PNF	2 a 6x	TPV	0,00	0,00	0,00	80,00	0,00	0,00	0,00	0,00	0,00	111,60	0,00	0,00	0,00	0,00	0,00	16,46	16,77	19,03	22,02	24,28	26,78	28,86	30,39	34,69
QR SELLERS	LONGTAIL	-	AQUISICAO	-	-	QR SELLERS	credit_card	PNF	7 a 12x	TPV	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
QR SELLERS	LONGTAIL	-	AQUISICAO	-	-	QR SELLERS	credit_card	PNF	Maior que 12x	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QR SELLERS	SMB	-	AQUISICAO	-	-	QR SELLERS	account_money	-	-	TPV	13.358.238,60	25.932.656,18	38.362.361,58	55.255.607,59	69.794.896,51	70.780.941,91	94.369.301,28	93.578.937,54	98.461.536,88	119.416.151,40	125.464.392,90	147.421.488,90	17.026.522,36	46.123.112,50	88.029.867,64	78.878.897,00	87.735.608,47	89.939.404,34	112.696.006,51	115.722.029,62	119.565.375,37	129.912.535,48	136.581.094,50	160.234.400,10
QR SELLERS	SMB	-	AQUISICAO	-	-	QR SELLERS	bank_transfer	-	-	TPV	47.706.045,68	120.099.884,80	192.735.449,30	239.651.633,40	336.837.454,40	383.464.247,70	474.515.842,00	545.830.208,40	563.535.970,30	670.337.750,30	773.600.098,10	1.062.326.706,00	70.582.768,05	169.912.316,50	315.852.642,00	402.968.418,00	453.577.526,29	518.361.208,40	623.147.492,97	690.182.964,15	743.317.344,09	834.548.520,82	909.763.114,90	1.151.287.859,00
QR SELLERS	SMB	-	AQUISICAO	-	-	QR SELLERS	ticket	-	-	TPV	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
QR SELLERS	SMB	-	AQUISICAO	-	-	QR SELLERS	consumer_credits	-	-	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QR SELLERS	SMB	-	AQUISICAO	-	-	QR SELLERS	digital_currency	-	-	TPV	596.223,89	749.996,98	1.303.761,44	1.474.431,22	1.828.326,06	1.709.126,43	2.030.883,19	4.574.038,85	2.448.436,95	1.041.670,20	879.276,96	838.687,88	85.992,54	110.812,53	263.649,06	437.330,87	489.099,72	537.109,39	657.063,51	711.299,72	758.049,09	841.246,00	905.459,88	1.099.912,69
QR SELLERS	SMB	-	AQUISICAO	-	-	QR SELLERS	debit_card	-	-	TPV	27,50	197,50	201,91	642,14	2.202,07	2.940,84	2.054,20	1.477,50	1.165,00	0,00	0	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
QR SELLERS	SMB	-	AQUISICAO	-	-	QR SELLERS	credit_card	1x	1x	TPV	195.302,07	276.805,99	407.659,00	529.036,39	702.866,85	885.394,79	1.040.156,44	1.282.347,07	1.406.504,12	1.708.572,49	1.748.651,06	1.992.829,45	127.362,59	252.337,10	539.399,42	871.745,32	975.907,48	1.070.139,98	1.305.966,35	1.406.798,44	1.496.359,57	1.663.724,78	1.792.482,99	2.207.712,00
QR SELLERS	SMB	-	AQUISICAO	-	-	QR SELLERS	credit_card	PCJ	2 a 6x	TPV	28.613,91	91.584,48	115.568,68	176.411,52	141.543,59	224.877,63	280.452,54	322.641,63	283.158,89	315.219,36	385.751,00	463.835,38	43.386,06	70.001,75	150.173,00	188.894,99	212.345,01	244.092,94	293.043,96	326.050,47	353.161,71	397.323,32	433.040,06	546.686,56
QR SELLERS	SMB	-	AQUISICAO	-	-	QR SELLERS	credit_card	PCJ	7 a 12x	TPV	10.700,68	2.413,47	14.318,53	14.554,60	33.291,05	47.997,62	73.975,35	69.219,15	20.825,87	59.538,09	75.010,31	48.349,05	12.853,82	10.385,29	35.695,07	33.329,98	37.272,64	40.364,94	49.478,35	52.830,65	55.907,64	61.950,80	66.521,35	81.330,27
QR SELLERS	SMB	-	AQUISICAO	-	-	QR SELLERS	credit_card	PCJ	Maior que 12x	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0,00	0	0	0	0	0	0	0	0	0	0	0
QR SELLERS	SMB	-	AQUISICAO	-	-	QR SELLERS	credit_card	PSJ	2 a 6x	TPV	13.417,36	8.568,79	11.645,30	4.933,20	54.226,39	14.822,32	37.235,90	52.526,57	92.788,61	57.963,39	33.590,27	45.044,97	7.752,98	5.701,24	5.052,88	22.494,90	25.002,12	25.106,27	31.633,16	31.942,78	32.670,97	35.367,66	37.084,21	42.935,66
QR SELLERS	SMB	-	AQUISICAO	-	-	QR SELLERS	credit_card	PSJ	7 a 12x	TPV	101.590,98	11.270,00	6.431,70	22.940,43	2.609,11	46.031,18	46,00	16.490,00	4.020,14	6.245,74	4.522,80	5.575,89	6.997,00	6.070,00	1.187,00	4.523,12	5.015,96	4.892,98	6.232,74	6.153,11	6.201,67	6.643,53	6.889,39	7.765,16
QR SELLERS	SMB	-	AQUISICAO	-	-	QR SELLERS	credit_card	PSJ	Maior que 12x	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
QR SELLERS	SMB	-	AQUISICAO	-	-	QR SELLERS	credit_card	PNF	1x	TPV	0,00	0,00	0,00	92,96	66,96	993,23	192,02	89,68	254,96	6,00	125,75	1.037,40	0,00	0,00	100,00	165,53	186,40	218,46	260,52	293,61	320,22	361,83	396,05	504,46
QR SELLERS	SMB	-	AQUISICAO	-	-	QR SELLERS	credit_card	PNF	2 a 6x	TPV	0,00	0,00	0,00	0,00	0,00	48,90	0,00	36,12	525,78	587,00	552,98	0,00	0,00	0,00	0,00	146,73	165,53	197,52	234,16	267,10	293,07	332,53	365,39	469,05
QR SELLERS	SMB	-	AQUISICAO	-	-	QR SELLERS	credit_card	PNF	7 a 12x	TPV	56,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
QR SELLERS	SMB	-	AQUISICAO	-	-	QR SELLERS	credit_card	PNF	Maior que 12x	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QR SELLERS	LONGTAIL	-	LEGADO	-	-	QR SELLERS	account_money	-	-	TPV	64.203.854,73	58.532.527,96	64.604.197,44	58.299.225,19	60.062.071,09	54.808.342,98	55.083.298,52	51.435.058,27	47.905.408,23	46.054.630,56	45.537.639,67	56.814.144,01	85.050.183,94	75.658.817,57	77.866.400,46	71.052.725,17	67.395.223,68	61.021.573,63	60.922.175,72	58.230.616,41	52.333.647,64	52.653.020,64	50.478.837,73	54.587.104,87
QR SELLERS	LONGTAIL	-	LEGADO	-	-	QR SELLERS	bank_transfer	-	-	TPV	915.028.436,90	851.045.560,50	905.212.333,00	841.659.583,80	846.374.390,90	797.175.797,70	792.748.617,10	760.874.046,40	679.582.092,10	688.990.983,30	693.830.118,40	846.503.666,00	1.096.528.325,00	952.352.256,50	995.608.361,40	966.997.400,01	918.405.087,20	832.819.671,10	833.807.347,80	797.808.427,30	717.471.722,60	722.748.521,80	694.553.033,80	754.677.069,90
QR SELLERS	LONGTAIL	-	LEGADO	-	-	QR SELLERS	ticket	-	-	TPV	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
QR SELLERS	LONGTAIL	-	LEGADO	-	-	QR SELLERS	consumer_credits	-	-	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
