MES	CARTEIRA	PRODUTO	CANAL	SUB_CANAL	MOP	SUM de TPV
202401	AQUISICAO	OP - CHECKOUT			ACCOUNT_MONEY	6519270,99
202401	AQUISICAO	OP - CHECKOUT			CREDIT_CARD	6403,98
202401	AQUISICAO	OP - CHECKOUT			DEBIT_CARD	434
202401	AQUISICAO	OP - CHECKOUT			PIX	55359055
202401	AQUISICAO	OP - CHECKOUT			TICKET	491,03
202401	AQUISICAO	OP - LINK			ACCOUNT_MONEY	33327623,56
202401	AQUISICAO	OP - LINK			CREDIT_CARD	48116085,47
202401	AQUISICAO	OP - LINK			DEBIT_CARD	515,96
202401	AQUISICAO	OP - LINK			PIX	1059489,42
202401	AQUISICAO	OP - LINK			TICKET	1569695,64
202401	AQUISICAO	POINT	CANAIS DIGITAIS	APP	ACCOUNT_MONEY	6749838,4
202401	AQUISICAO	POINT	CANAIS DIGITAIS	APP	CREDIT_CARD	4836757,61
202401	AQUISICAO	POINT	CANAIS DIGITAIS	APP	DEBIT_CARD	4227864
202401	AQUISICAO	POINT	CANAIS DIGITAIS	DIGITAL_OUTROS	ACCOUNT_MONEY	1931021,04
202401	AQUISICAO	POINT	CANAIS DIGITAIS	DIGITAL_OUTROS	CREDIT_CARD	2736220,96
202401	AQUISICAO	POINT	CANAIS DIGITAIS	DIGITAL_OUTROS	DEBIT_CARD	3489865
202401	AQUISICAO	POINT	CANAIS DIGITAIS	LANDING	ACCOUNT_MONEY	5225118,65
202401	AQUISICAO	POINT	CANAIS DIGITAIS	LANDING	CREDIT_CARD	2075561,36
202401	AQUISICAO	POINT	CANAIS DIGITAIS	LANDING	DEBIT_CARD	3382257
202401	AQUISICAO	POINT	CANAIS DIGITAIS	TO	ACCOUNT_MONEY	8848285,85
202401	AQUISICAO	POINT	CANAIS DIGITAIS	TO	CREDIT_CARD	7228161,11
202401	AQUISICAO	POINT	CANAIS DIGITAIS	TO	DEBIT_CARD	9080258
202401	AQUISICAO	POINT	FDV PROPRIA		ACCOUNT_MONEY	6903897,19
202401	AQUISICAO	POINT	FDV PROPRIA		CREDIT_CARD	5178107,83
202401	AQUISICAO	POINT	FDV PROPRIA		DEBIT_CARD	7829203
202401	AQUISICAO	POINT	FDV TERCEIRA		ACCOUNT_MONEY	3093723,18
202401	AQUISICAO	POINT	FDV TERCEIRA		CREDIT_CARD	4456,81
202401	AQUISICAO	POINT	FDV TERCEIRA		DEBIT_CARD	2802735
202401	AQUISICAO	POINT	MgM		ACCOUNT_MONEY	4648518,82
202401	AQUISICAO	POINT	MgM		CREDIT_CARD	2452267,18
202401	AQUISICAO	POINT	MgM		DEBIT_CARD	4176395
202401	AQUISICAO	POINT	RESELLERS		ACCOUNT_MONEY	7795441,76
202401	AQUISICAO	POINT	RESELLERS		CREDIT_CARD	5627156,25
202401	AQUISICAO	POINT	RESELLERS		DEBIT_CARD	6680858
202401	AQUISICAO	POINT	TELEVENDAS		ACCOUNT_MONEY	4146523,49
202401	AQUISICAO	POINT	TELEVENDAS		CREDIT_CARD	5769,51
202401	AQUISICAO	POINT	TELEVENDAS		DEBIT_CARD	2464890
202401	AQUISICAO	QR			ACCOUNT_MONEY	7888915
202401	AQUISICAO	QR			CREDIT_CARD	3609,86
202401	AQUISICAO	QR			DEBIT_CARD	120,17
202401	AQUISICAO	QR			PIX	45273815
202401	AQUISICAO	TAP			ACCOUNT_MONEY	991371,62
202401	AQUISICAO	TAP			CREDIT_CARD	18799036,22
202401	AQUISICAO	TAP			DEBIT_CARD	1237957,29
202401	ENGAGEMENT	OP - CHECKOUT			ACCOUNT_MONEY	15221059,12
202401	ENGAGEMENT	OP - CHECKOUT			CREDIT_CARD	179098300
202401	ENGAGEMENT	OP - CHECKOUT			DEBIT_CARD	19,91
202401	ENGAGEMENT	OP - CHECKOUT			PIX	460902765
202401	ENGAGEMENT	OP - CHECKOUT			TICKET	19247830
202401	ENGAGEMENT	OP - LINK			ACCOUNT_MONEY	10105768,08
202401	ENGAGEMENT	OP - LINK			CREDIT_CARD	749984547
202401	ENGAGEMENT	OP - LINK			DEBIT_CARD	196,87
202401	ENGAGEMENT	OP - LINK			PIX	12513953
202401	ENGAGEMENT	OP - LINK			TICKET	9192013
202401	ENGAGEMENT	POINT			ACCOUNT_MONEY	16966839,44
202401	ENGAGEMENT	POINT			CREDIT_CARD	4770705769
202401	ENGAGEMENT	POINT			DEBIT_CARD	3101905545
202401	ENGAGEMENT	QR			ACCOUNT_MONEY	89514551
202401	ENGAGEMENT	QR			CREDIT_CARD	26325547,12
202401	ENGAGEMENT	QR			DEBIT_CARD	14,61
202401	ENGAGEMENT	QR			PIX	1158530771
202401	ENGAGEMENT	TAP			ACCOUNT_MONEY	24857166,23
202401	ENGAGEMENT	TAP			CREDIT_CARD	105715445,8
202401	ENGAGEMENT	TAP			DEBIT_CARD	6709760
202402	AQUISICAO	OP - CHECKOUT			ACCOUNT_MONEY	10487398,78
202402	AQUISICAO	OP - CHECKOUT			CREDIT_CARD	2975645,24
202402	AQUISICAO	OP - CHECKOUT			DEBIT_CARD	964
202402	AQUISICAO	OP - CHECKOUT			PIX	108412092
202402	AQUISICAO	OP - CHECKOUT			TICKET	810,01
202402	AQUISICAO	OP - LINK			ACCOUNT_MONEY	45039389,23
202402	AQUISICAO	OP - LINK			CREDIT_CARD	66007926,67
202402	AQUISICAO	OP - LINK			DEBIT_CARD	18,31
202402	AQUISICAO	OP - LINK			PIX	1498047,35
202402	AQUISICAO	OP - LINK			TICKET	1572,41
202402	AQUISICAO	POINT	CANAIS DIGITAIS	APP	ACCOUNT_MONEY	12660120,9
202402	AQUISICAO	POINT	CANAIS DIGITAIS	APP	CREDIT_CARD	14978573,11
202402	AQUISICAO	POINT	CANAIS DIGITAIS	APP	DEBIT_CARD	12340450
202402	AQUISICAO	POINT	CANAIS DIGITAIS	DIGITAL_OUTROS	ACCOUNT_MONEY	5304052,38
202402	AQUISICAO	POINT	CANAIS DIGITAIS	DIGITAL_OUTROS	CREDIT_CARD	11468241,59
202402	AQUISICAO	POINT	CANAIS DIGITAIS	DIGITAL_OUTROS	DEBIT_CARD	13662385
202402	AQUISICAO	POINT	CANAIS DIGITAIS	LANDING	ACCOUNT_MONEY	11106997,88
202402	AQUISICAO	POINT	CANAIS DIGITAIS	LANDING	CREDIT_CARD	9550933,13
202402	AQUISICAO	POINT	CANAIS DIGITAIS	LANDING	DEBIT_CARD	10235053
202402	AQUISICAO	POINT	CANAIS DIGITAIS	TO	ACCOUNT_MONEY	9851446,69
202402	AQUISICAO	POINT	CANAIS DIGITAIS	TO	CREDIT_CARD	28695249,28
202402	AQUISICAO	POINT	CANAIS DIGITAIS	TO	DEBIT_CARD	25261834
202402	AQUISICAO	POINT	FDV PROPRIA		ACCOUNT_MONEY	6717945,34
202402	AQUISICAO	POINT	FDV PROPRIA		CREDIT_CARD	27521866,68
202402	AQUISICAO	POINT	FDV PROPRIA		DEBIT_CARD	20341359
202402	AQUISICAO	POINT	FDV TERCEIRA		ACCOUNT_MONEY	3974544,48
202402	AQUISICAO	POINT	FDV TERCEIRA		CREDIT_CARD	4177182,54
202402	AQUISICAO	POINT	FDV TERCEIRA		DEBIT_CARD	6926681
202402	AQUISICAO	POINT	MgM		ACCOUNT_MONEY	9056933
202402	AQUISICAO	POINT	MgM		CREDIT_CARD	9678710,99
202402	AQUISICAO	POINT	MgM		DEBIT_CARD	13211585
202402	AQUISICAO	POINT	RESELLERS		ACCOUNT_MONEY	10481876,63
202402	AQUISICAO	POINT	RESELLERS		CREDIT_CARD	20148586,37
202402	AQUISICAO	POINT	RESELLERS		DEBIT_CARD	18853365
202402	AQUISICAO	POINT	TELEVENDAS		ACCOUNT_MONEY	6449950,92
202402	AQUISICAO	POINT	TELEVENDAS		CREDIT_CARD	4990542,13
202402	AQUISICAO	POINT	TELEVENDAS		DEBIT_CARD	6852546
202402	AQUISICAO	QR			ACCOUNT_MONEY	16466933
202402	AQUISICAO	QR			CREDIT_CARD	1190443,86
202402	AQUISICAO	QR			DEBIT_CARD	4,23
202402	AQUISICAO	QR			PIX	98414224
202402	AQUISICAO	TAP			ACCOUNT_MONEY	988545,47
202402	AQUISICAO	TAP			CREDIT_CARD	41711253,13
202402	AQUISICAO	TAP			DEBIT_CARD	2660017,55
202402	ENGAGEMENT	OP - CHECKOUT			ACCOUNT_MONEY	12451447,02
202402	ENGAGEMENT	OP - CHECKOUT			CREDIT_CARD	156433368,1
202402	ENGAGEMENT	OP - CHECKOUT			DEBIT_CARD	12,9
202402	ENGAGEMENT	OP - CHECKOUT			PIX	355352637
202402	ENGAGEMENT	OP - CHECKOUT			TICKET	16252465
202402	ENGAGEMENT	OP - LINK			ACCOUNT_MONEY	6471182,27
202402	ENGAGEMENT	OP - LINK			CREDIT_CARD	728637979,5
202402	ENGAGEMENT	OP - LINK			DEBIT_CARD	205,53
202402	ENGAGEMENT	OP - LINK			PIX	13004487
202402	ENGAGEMENT	OP - LINK			TICKET	8173949
202402	ENGAGEMENT	POINT			ACCOUNT_MONEY	17666683,31
202402	ENGAGEMENT	POINT			CREDIT_CARD	4636463357
202402	ENGAGEMENT	POINT			DEBIT_CARD	2944438152
202402	ENGAGEMENT	QR			ACCOUNT_MONEY	83230556
202402	ENGAGEMENT	QR			CREDIT_CARD	24941923,93
202402	ENGAGEMENT	QR			DEBIT_CARD	13,36
202402	ENGAGEMENT	QR			PIX	1096579747
202402	ENGAGEMENT	TAP			ACCOUNT_MONEY	33613865,56
202402	ENGAGEMENT	TAP			CREDIT_CARD	111532670
202402	ENGAGEMENT	TAP			DEBIT_CARD	6751337,46
202403	AQUISICAO	OP - CHECKOUT			ACCOUNT_MONEY	17337373,44
202403	AQUISICAO	OP - CHECKOUT			CREDIT_CARD	5628734,95
202403	AQUISICAO	OP - CHECKOUT			DEBIT_CARD	419
202403	AQUISICAO	OP - CHECKOUT			PIX	151442422
202403	AQUISICAO	OP - CHECKOUT			TICKET	1282,59
202403	AQUISICAO	OP - LINK			ACCOUNT_MONEY	54468591,2
202403	AQUISICAO	OP - LINK			CREDIT_CARD	92120457,75
202403	AQUISICAO	OP - LINK			DEBIT_CARD	26,47
202403	AQUISICAO	OP - LINK			PIX	1984841,6
202403	AQUISICAO	OP - LINK			TICKET	3071434
202403	AQUISICAO	POINT	CANAIS DIGITAIS	APP	ACCOUNT_MONEY	12530981,16
202403	AQUISICAO	POINT	CANAIS DIGITAIS	APP	CREDIT_CARD	33377067,86
202403	AQUISICAO	POINT	CANAIS DIGITAIS	APP	DEBIT_CARD	22011333
202403	AQUISICAO	POINT	CANAIS DIGITAIS	DIGITAL_OUTROS	ACCOUNT_MONEY	8852378,76
202403	AQUISICAO	POINT	CANAIS DIGITAIS	DIGITAL_OUTROS	CREDIT_CARD	10629641,25
202403	AQUISICAO	POINT	CANAIS DIGITAIS	DIGITAL_OUTROS	DEBIT_CARD	14766810
202403	AQUISICAO	POINT	CANAIS DIGITAIS	LANDING	ACCOUNT_MONEY	12002433,55
202403	AQUISICAO	POINT	CANAIS DIGITAIS	LANDING	CREDIT_CARD	23152483,46
202403	AQUISICAO	POINT	CANAIS DIGITAIS	LANDING	DEBIT_CARD	17976994
202403	AQUISICAO	POINT	CANAIS DIGITAIS	TO	ACCOUNT_MONEY	10237669,34
202403	AQUISICAO	POINT	CANAIS DIGITAIS	TO	CREDIT_CARD	49649084,67
202403	AQUISICAO	POINT	CANAIS DIGITAIS	TO	DEBIT_CARD	41292835
202403	AQUISICAO	POINT	FDV PROPRIA		ACCOUNT_MONEY	8248137,61
202403	AQUISICAO	POINT	FDV PROPRIA		CREDIT_CARD	58903949,4
202403	AQUISICAO	POINT	FDV PROPRIA		DEBIT_CARD	38769562
202403	AQUISICAO	POINT	FDV TERCEIRA		ACCOUNT_MONEY	7107813,07
202403	AQUISICAO	POINT	FDV TERCEIRA		CREDIT_CARD	11071467,92
202403	AQUISICAO	POINT	FDV TERCEIRA		DEBIT_CARD	13967290
202403	AQUISICAO	POINT	MgM		ACCOUNT_MONEY	9543067,38
202403	AQUISICAO	POINT	MgM		CREDIT_CARD	20547171,62
202403	AQUISICAO	POINT	MgM		DEBIT_CARD	23091581
202403	AQUISICAO	POINT	RESELLERS		ACCOUNT_MONEY	9972661,36
202403	AQUISICAO	POINT	RESELLERS		CREDIT_CARD	34985455,63
202403	AQUISICAO	POINT	RESELLERS		DEBIT_CARD	28078804
202403	AQUISICAO	POINT	TELEVENDAS		ACCOUNT_MONEY	9527502,75
202403	AQUISICAO	POINT	TELEVENDAS		CREDIT_CARD	9352559,26
202403	AQUISICAO	POINT	TELEVENDAS		DEBIT_CARD	13324661
202403	AQUISICAO	QR			ACCOUNT_MONEY	30627577
202403	AQUISICAO	QR			CREDIT_CARD	1575938,3
202403	AQUISICAO	QR			DEBIT_CARD	582,78
202403	AQUISICAO	QR			PIX	159802384
202403	AQUISICAO	TAP			ACCOUNT_MONEY	763955,52
202403	AQUISICAO	TAP			CREDIT_CARD	78676543,58
202403	AQUISICAO	TAP			DEBIT_CARD	4316161,45
202403	ENGAGEMENT	OP - CHECKOUT			ACCOUNT_MONEY	10284045,45
202403	ENGAGEMENT	OP - CHECKOUT			CREDIT_CARD	162374252
202403	ENGAGEMENT	OP - CHECKOUT			DEBIT_CARD	14,57
202403	ENGAGEMENT	OP - CHECKOUT			PIX	304182766
202403	ENGAGEMENT	OP - CHECKOUT			TICKET	15557337
202403	ENGAGEMENT	OP - LINK			ACCOUNT_MONEY	5623493,64
202403	ENGAGEMENT	OP - LINK			CREDIT_CARD	772737376,4
202403	ENGAGEMENT	OP - LINK			DEBIT_CARD	201,67
202403	ENGAGEMENT	OP - LINK			PIX	13790247
202403	ENGAGEMENT	OP - LINK			TICKET	9128083
