BU	SEGMENT_DESC	PRODUCT_DESC	BALANCE_SHEET_PORTFOLIO_DESC	PORTFOLIO_DESC	PAYMENT_METHOD_DESC	INSTALLMENT_NUMBER_AGROUP	YEARMONTH_ID	VERSION_DESC	DEVICE_TAP_TYPE	 VALUE_AMOUNT 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	account_money	-	202601	PLANO V5		 101.310.001,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	account_money	-	202602	PLANO V5		 98.657.915,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	account_money	-	202603	PLANO V5		 102.977.942,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	account_money	-	202604	PLANO V5		 99.513.139,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	account_money	-	202605	PLANO V5		 99.521.371,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	account_money	-	202606	PLANO V5		 100.292.964,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	account_money	-	202607	PLANO V5		 100.004.986,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	account_money	-	202608	PLANO V5		 101.569.188,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	account_money	-	202609	PLANO V5		 102.829.480,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	account_money	-	202610	PLANO V5		 105.850.083,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	account_money	-	202611	PLANO V5		 111.632.507,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	account_money	-	202612	PLANO V5		 104.446.035,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	bank_transfer	-	202601	PLANO V5		 1.245.989.241,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	bank_transfer	-	202602	PLANO V5		 1.159.418.819,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	bank_transfer	-	202603	PLANO V5		 1.250.992.251,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	bank_transfer	-	202604	PLANO V5		 1.218.514.484,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	bank_transfer	-	202605	PLANO V5		 1.264.506.512,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	bank_transfer	-	202606	PLANO V5		 1.240.059.552,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	bank_transfer	-	202607	PLANO V5		 1.294.110.605,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	bank_transfer	-	202608	PLANO V5		 1.282.287.008,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	bank_transfer	-	202609	PLANO V5		 1.243.797.499,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	bank_transfer	-	202610	PLANO V5		 1.437.943.654,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	bank_transfer	-	202611	PLANO V5		 1.762.157.593,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	bank_transfer	-	202612	PLANO V5		 1.462.609.541,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	consumer_credits	-	202601	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	consumer_credits	-	202602	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	consumer_credits	-	202603	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	consumer_credits	-	202604	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	consumer_credits	-	202605	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	consumer_credits	-	202606	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	consumer_credits	-	202607	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	consumer_credits	-	202608	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	consumer_credits	-	202609	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	consumer_credits	-	202610	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	consumer_credits	-	202611	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	consumer_credits	-	202612	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	-	202601	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	-	202602	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	-	202603	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	-	202604	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	-	202605	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	-	202606	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	-	202607	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	-	202608	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	-	202609	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	-	202610	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	-	202611	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	-	202612	PLANO V5		 -   
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	1x	202601	PLANO V5		 709.985.741,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	1x	202602	PLANO V5		 766.572.835,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	1x	202603	PLANO V5		 766.001.137,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	1x	202604	PLANO V5		 742.064.192,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	1x	202605	PLANO V5		 737.313.995,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	1x	202606	PLANO V5		 767.087.615,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	1x	202607	PLANO V5		 725.307.995,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	1x	202608	PLANO V5		 750.104.175,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	1x	202609	PLANO V5		 767.584.106,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	1x	202610	PLANO V5		 779.721.764,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	1x	202611	PLANO V5		 850.425.888,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	1x	202612	PLANO V5		 1.003.276.293,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	2 a 6x	202601	PLANO V5		 530.559.742,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	2 a 6x	202602	PLANO V5		 464.662.060,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	2 a 6x	202603	PLANO V5		 495.927.649,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	2 a 6x	202604	PLANO V5		 475.750.876,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	2 a 6x	202605	PLANO V5		 482.016.676,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	2 a 6x	202606	PLANO V5		 474.869.663,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	2 a 6x	202607	PLANO V5		 482.111.123,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	2 a 6x	202608	PLANO V5		 487.699.413,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	2 a 6x	202609	PLANO V5		 472.546.972,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	2 a 6x	202610	PLANO V5		 552.201.276,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	2 a 6x	202611	PLANO V5		 672.325.458,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	2 a 6x	202612	PLANO V5		 545.620.575,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	7 a 12x	202601	PLANO V5		 391.679.212,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	7 a 12x	202602	PLANO V5		 355.192.735,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	7 a 12x	202603	PLANO V5		 371.742.215,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	7 a 12x	202604	PLANO V5		 352.699.777,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	7 a 12x	202605	PLANO V5		 360.820.548,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	7 a 12x	202606	PLANO V5		 354.694.522,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	7 a 12x	202607	PLANO V5		 360.408.066,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	7 a 12x	202608	PLANO V5		 368.454.211,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	7 a 12x	202609	PLANO V5		 362.345.111,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	7 a 12x	202610	PLANO V5		 413.970.949,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	7 a 12x	202611	PLANO V5		 511.397.979,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	7 a 12x	202612	PLANO V5		 429.034.337,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	Maior que 12x	202601	PLANO V5		 31.402.591,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	Maior que 12x	202602	PLANO V5		 31.258.856,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	Maior que 12x	202603	PLANO V5		 31.899.432,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	Maior que 12x	202604	PLANO V5		 31.642.021,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	Maior que 12x	202605	PLANO V5		 31.913.360,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	Maior que 12x	202606	PLANO V5		 32.096.315,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	Maior que 12x	202607	PLANO V5		 32.291.601,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	Maior que 12x	202608	PLANO V5		 32.225.839,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	Maior que 12x	202609	PLANO V5		 32.228.915,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	Maior que 12x	202610	PLANO V5		 33.227.514,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	Maior que 12x	202611	PLANO V5		 44.297.117,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	Maior que 12x	202612	PLANO V5		 42.299.968,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	debit_card	-	202601	PLANO V5		 21.964,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	debit_card	-	202602	PLANO V5		 26.772,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	debit_card	-	202603	PLANO V5		 26.007,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	debit_card	-	202604	PLANO V5		 33.380,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	debit_card	-	202605	PLANO V5		 31.519,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	debit_card	-	202606	PLANO V5		 20.701,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	debit_card	-	202607	PLANO V5		 23.461,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	debit_card	-	202608	PLANO V5		 152.110,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	debit_card	-	202609	PLANO V5		 44.948,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	debit_card	-	202610	PLANO V5		 72.143,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	debit_card	-	202611	PLANO V5		 101.010,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	debit_card	-	202612	PLANO V5		 89.877,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	digital_currency	-	202601	PLANO V5		 1.334.881,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	digital_currency	-	202602	PLANO V5		 903.404,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	digital_currency	-	202603	PLANO V5		 1.154.261,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	digital_currency	-	202604	PLANO V5		 1.101.575,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	digital_currency	-	202605	PLANO V5		 1.244.360,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	digital_currency	-	202606	PLANO V5		 1.090.526,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	digital_currency	-	202607	PLANO V5		 997.075,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	digital_currency	-	202608	PLANO V5		 1.010.785,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	digital_currency	-	202609	PLANO V5		 788.499,00 
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	digital_currency	-	202610	PLANO V5		 1.164.679,00 
