SUM de VALUE_AMOUNT										YEARMONTH_ID																							
BU	SEGMENT_DESC	PRODUCT_DESC	BALANCE_SHEET_PORTFOLIO_DESC	PORTFOLIO_DESC	PAYMENT_METHOD_DESC	INSTALLMENT_NUMBER_AGROUP	VERSION_DESC	DEVICE_TAP_TYPE	CHANNEL_DESC	202501	202502	202503	202504	202505	202506	202507	202508	202509	202510	202511	202512	202601	202602	202603	202604	202605	202606	202607	202608	202609	202610	202611	202612
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	account_money	-	FORECAST 3+9		-																101.192.951	101.265.161	101.988.126	101.679.542	103.251.909	104.505.014	107.609.693	112.723.987	109.165.501
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	account_money	-	FORECAST 4+8		-																	99.035.708	104.490.797	104.367.210	105.776.602	106.903.179	109.799.128	114.712.555	110.119.026
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	account_money	-	PLANO V5		-													101.310.001	98.657.915	102.977.942	99.513.139	99.521.371	100.292.964	100.004.986	101.569.188	102.829.480	105.850.083	111.632.507	104.446.035
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	bank_transfer	-	FORECAST 3+9		-																1.214.578.296	1.240.969.860	1.210.242.370	1.260.840.113	1.247.093.519	1.212.391.549	1.409.739.893	1.716.256.369	1.404.442.342
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	bank_transfer	-	FORECAST 4+8		-																	1.297.501.070	1.290.437.563	1.328.808.522	1.309.899.263	1.280.282.524	1.464.911.637	1.785.544.525	1.460.709.245
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	bank_transfer	-	PLANO V5		-													1.245.989.241	1.159.418.819	1.250.992.251	1.218.514.484	1.264.506.512	1.240.059.552	1.294.110.605	1.282.287.008	1.243.797.499	1.437.943.654	1.762.157.593	1.462.609.541
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	consumer_credits	-	FORECAST 3+9		-																0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	consumer_credits	-	PLANO V5		-													0	0	0	0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	-	FORECAST 3+9		-																0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	-	PLANO V5		-													0	0	0	0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	1x	FORECAST 3+9		-																729.827.715	723.350.826	755.248.364	714.480.289	738.141.609	755.636.480	759.538.436	818.623.053	906.879.636
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	1x	FORECAST 4+8		-																	736.417.540	768.124.524	737.015.608	748.944.075	778.753.780	770.740.198	817.021.814	935.541.809
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	1x	PLANO V5		-													709.985.741	766.572.835	766.001.137	742.064.192	737.313.995	767.087.615	725.307.995	750.104.175	767.584.106	779.721.764	850.425.888	1.003.276.293
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	2 a 6x	FORECAST 3+9		-																527.308.900	530.695.995	521.877.775	524.247.167	531.378.205	516.893.645	599.190.475	725.758.470	588.175.862
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	2 a 6x	FORECAST 4+8		-																	528.464.617	523.034.621	529.272.477	528.929.429	521.641.875	592.273.298	749.007.476	605.208.634
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	2 a 6x	PLANO V5		-													530.559.742	464.662.060	495.927.649	475.750.876	482.016.676	474.869.663	482.111.123	487.699.413	472.546.972	552.201.276	672.325.458	545.620.575
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	7 a 12x	FORECAST 3+9		-																383.548.665	390.327.313	380.369.388	383.378.702	392.984.539	386.251.352	441.672.406	538.564.070	418.467.361
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	7 a 12x	FORECAST 4+8		-																	348.702.126	349.605.329	340.437.180	340.053.157	338.132.847	385.802.128	470.755.867	383.331.066
ONLINE PAYMENTS	BIG SELLERS	-	BS FARMING	-	credit_card	7 a 12x	PLANO V5		-													391.679.212	355.192.735	371.742.215	352.699.777	360.820.548	354.694.522	360.408.066	368.454.211	362.345.111	413.970.949	511.397.979	429.034.337
